item_id,restriction
640404923,"dairy-free,nut-free,halal,kosher"
640404963,"nut-free,halal"
640405025,"nut-free"
640405058,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405621,"nut-free,halal,kosher"
640405085,"dairy-free,nut-free,halal,kosher"
640405112,"nut-free,halal"
640405172,"nut-free"
640405355,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405371,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405380,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405389,"nut-free,vegetarian,halal,kosher"
640405395,"nut-free,vegetarian,halal,kosher"
640405399,"nut-free,vegetarian,halal,kosher"
640405296,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405307,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405315,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405323,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405331,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405339,"dairy-free,nut-free,vegan,vegetarian,halal,kosher"
640405347,"nut-free,vegetarian,halal,kosher"
640405348,"nut-free,vegetarian,halal,kosher"
