item_id,dairy,nuts,vegan,vegetarian,kosher,halal
640404923,0,0,0,0,0,0
640404963,0,0,0,0,0,0
640405025,0,0,0,0,0,0
640405058,0,1,1,1,0,0
640405085,0,0,0,0,0,0
640405112,0,0,0,0,0,0
640405172,0,0,0,0,0,0
640405355,0,0,1,1,1,1
640405371,0,0,1,1,1,1
640405380,0,0,1,1,1,1
640405389,1,1,0,0,1,1
640405395,1,1,0,0,1,1
640405399,1,1,0,0,1,1
640405296,0,0,1,1,1,1
640405307,0,0,1,1,1,1
640405315,0,0,1,1,1,1
640405323,0,0,1,1,1,1
640405331,0,0,1,1,1,1
640405339,0,0,1,1,1,1
640405347,0,0,1,1,1,1
640405348,0,0,1,1,1,1
